FlightNum,CarrierName,Origin,Destination,ScheduledTravelTime,ActualTravelTime,Discrepancy,CarrierCode,Rank
1003,American Airlines,LAX,DEN,900.0,754.0,146.0,AA,1
3308,American Airlines,BOS,SFO,840.0,699.0,141.0,AA,2
5356,American Airlines,JFK,ATL,480.0,340.0,140.0,AA,3
9388,American Airlines,MIA,SEA,120.0,259.0,139.0,AA,4
4260,American Airlines,ATL,SEA,660.0,799.0,139.0,AA,5
2306,American Airlines,DFW,JFK,480.0,618.0,138.0,AA,6
7679,American Airlines,SEA,DFW,600.0,737.0,137.0,AA,7
7184,American Airlines,SEA,ORD,360.0,495.0,135.0,AA,8
2170,American Airlines,ATL,DFW,600.0,734.0,134.0,AA,9
1630,American Airlines,SFO,DFW,900.0,1034.0,134.0,AA,10
1350,American Airlines,JFK,MIA,120.0,254.0,134.0,AA,11
9251,American Airlines,MIA,SFO,180.0,47.0,133.0,AA,12
9000,American Airlines,JFK,MIA,240.0,108.0,132.0,AA,13
6446,American Airlines,SFO,DEN,660.0,528.0,132.0,AA,14
4954,American Airlines,SFO,MIA,540.0,409.0,131.0,AA,15
7752,American Airlines,JFK,SFO,420.0,551.0,131.0,AA,16
8338,American Airlines,ATL,SFO,420.0,551.0,131.0,AA,17
8039,American Airlines,JFK,SEA,300.0,431.0,131.0,AA,18
3273,American Airlines,MIA,LAX,240.0,370.0,130.0,AA,19
6650,American Airlines,DEN,JFK,240.0,370.0,130.0,AA,20
4645,American Airlines,LAX,MIA,360.0,231.0,129.0,AA,21
5018,American Airlines,ATL,MIA,540.0,668.0,128.0,AA,22
2774,American Airlines,SFO,SEA,840.0,712.0,128.0,AA,23
9579,American Airlines,DFW,BOS,600.0,728.0,128.0,AA,24
7603,American Airlines,LAX,MIA,840.0,967.0,127.0,AA,25
7058,American Airlines,MIA,SFO,360.0,487.0,127.0,AA,26
3782,American Airlines,DFW,DEN,180.0,53.0,127.0,AA,27
3036,American Airlines,SFO,JFK,120.0,246.0,126.0,AA,28
8588,American Airlines,ORD,BOS,600.0,474.0,126.0,AA,29
1414,American Airlines,BOS,JFK,660.0,785.0,125.0,AA,30
3397,American Airlines,SEA,DEN,600.0,725.0,125.0,AA,31
6844,American Airlines,DFW,SEA,720.0,844.0,124.0,AA,32
4038,American Airlines,LAX,JFK,600.0,724.0,124.0,AA,33
5626,American Airlines,SFO,DFW,660.0,784.0,124.0,AA,34
5106,American Airlines,DFW,DEN,300.0,176.0,124.0,AA,35
2306,American Airlines,MIA,ORD,420.0,543.0,123.0,AA,36
2960,American Airlines,BOS,DFW,840.0,963.0,123.0,AA,37
1782,American Airlines,MIA,JFK,420.0,298.0,122.0,AA,38
1671,American Airlines,JFK,DEN,540.0,661.0,121.0,AA,39
5889,American Airlines,DFW,DEN,480.0,359.0,121.0,AA,40
5112,American Airlines,JFK,DFW,660.0,540.0,120.0,AA,41
4682,American Airlines,ATL,SFO,540.0,659.0,119.0,AA,42
7785,American Airlines,JFK,LAX,900.0,782.0,118.0,AA,43
6107,American Airlines,ORD,BOS,840.0,722.0,118.0,AA,44
4860,American Airlines,LAX,DEN,600.0,483.0,117.0,AA,45
4462,American Airlines,SEA,SFO,180.0,297.0,117.0,AA,46
7577,American Airlines,SFO,ATL,660.0,777.0,117.0,AA,47
7413,American Airlines,DFW,LAX,660.0,776.0,116.0,AA,48
8468,American Airlines,SEA,ATL,840.0,955.0,115.0,AA,49
3146,American Airlines,JFK,DFW,360.0,245.0,115.0,AA,50
6485,American Airlines,JFK,SEA,240.0,126.0,114.0,AA,51
5055,American Airlines,ORD,JFK,300.0,186.0,114.0,AA,52
6788,American Airlines,BOS,MIA,120.0,233.0,113.0,AA,53
1296,American Airlines,MIA,LAX,540.0,427.0,113.0,AA,54
8532,American Airlines,DEN,ATL,540.0,428.0,112.0,AA,55
1820,American Airlines,SEA,ORD,660.0,772.0,112.0,AA,56
9368,American Airlines,SEA,DFW,480.0,592.0,112.0,AA,57
2158,American Airlines,SFO,ATL,600.0,488.0,112.0,AA,58
9417,American Airlines,SFO,ORD,840.0,952.0,112.0,AA,59
9881,American Airlines,ORD,SEA,240.0,129.0,111.0,AA,60
1004,American Airlines,BOS,DEN,780.0,891.0,111.0,AA,61
4809,American Airlines,SFO,SEA,540.0,651.0,111.0,AA,62
9310,American Airlines,DFW,SEA,900.0,789.0,111.0,AA,63
6195,American Airlines,BOS,SFO,120.0,231.0,111.0,AA,64
3764,American Airlines,DEN,ATL,420.0,530.0,110.0,AA,65
9814,American Airlines,SEA,MIA,540.0,650.0,110.0,AA,66
1888,American Airlines,JFK,LAX,300.0,409.0,109.0,AA,67
2150,American Airlines,DEN,LAX,900.0,1009.0,109.0,AA,68
